YEAR,AFFORDABILITY
2005-2009 ,5.081426724207491
2006-2010 ,4.904442631292284
2007-2011 ,4.523517149668717
2008-2012 ,4.350101006368373
2009-2013 ,4.529971826547811
2010-2014 ,4.644997156398973
2011-2015 ,4.639032642107906
2012-2016 ,4.868384177339303
2013-2017 ,4.7946010601794615
2014-2018 ,4.624864560246572
2015-2019 ,4.532264411894458
2016-2020 ,5.043530708598259
