TOWN,LISTYEAR,AVERAGESALEAMOUNT,AVERAGEINCOME,AVERAGECRIMERATE
Chaplin,2017                                  ,203126.46341463414,27166.95,3
Cheshire,2010                                  ,337647.1319018405,86552.3,91.72727272727273
Cheshire,2011                                  ,448602.335483871,80429.18,82.9090909090909
Cheshire,2012                                  ,317283.8951048951,72814.46,75.27272727272727
Cheshire,2014                                  ,316890.94077448745,70835.92,68.45454545454545
Cheshire,2015                                  ,341356.85892116185,72357.58,55.36363636363637
Cheshire,2016                                  ,315846.5306122449,73281.52,68.18181818181819
Cheshire,2017                                  ,328005.73131672596,79232.55,48.54545454545455
Chester,2010                                  ,415348.0714285714,22675.24,12.363636363636363
Chester,2011                                  ,235225.4423076923,22509.04,6.818181818181818
Chester,2012                                  ,315280.76923076925,21767.58,4.909090909090909
Chester,2014                                  ,313321.92307692306,18125.92,4.363636363636363
Chester,2015                                  ,254168.51470588235,18262.36,4.090909090909091
Chester,2016                                  ,296013.6935483871,18816.7,3.5454545454545454
Chester,2017                                  ,547596.5961538461,19559.05,1.6363636363636365
Clinton,2011                                  ,278296.2731707317,35000.1,93.45454545454545
Clinton,2012                                  ,336407.58095238096,34515.38,91.45454545454545
Clinton,2013                                  ,236233.96,35883.22,78.45454545454545
Clinton,2014                                  ,251623.08835341365,35721.9,77.18181818181819
Clinton,2016                                  ,279100.6055363322,34021.42,84.54545454545455
Clinton,2017                                  ,276682.54137931037,32693.65,91.9090909090909
Colchester,2010                                  ,240234.11282051282,57858.56,50.45454545454545
Colchester,2012                                  ,234477.04245283018,50049.76,40.09090909090909
Colchester,2013                                  ,220308.841025641,49791.18,20.90909090909091
Colchester,2014                                  ,243001.5265700483,52380.3,19.454545454545453
Colchester,2015                                  ,241736.96218487396,55384.12,17.818181818181817
Colchester,2017                                  ,247301.62348178137,67016.175,20.727272727272727
Colebrook,2011                                  ,154149.1,16011.94,3
Colebrook,2012                                  ,178969.07407407407,16607.06,1.9090909090909092
Colebrook,2013                                  ,246776.25,17403.58,3
Colebrook,2014                                  ,172180.31578947368,18067.76,2.8181818181818183
Colebrook,2016                                  ,189001.6875,20036.92,1.9090909090909092
Colebrook,2017                                  ,216430.33333333334,20698.95,1.5454545454545454
Columbia,2010                                  ,231129,27784.72,14.727272727272727
Columbia,2011                                  ,223750,24143.74,7.636363636363637
Columbia,2012                                  ,228349.57142857142,22899.98,9.818181818181818
Columbia,2013                                  ,229504.58441558442,21998.82,8.272727272727273
Columbia,2014                                  ,252162.97872340426,25269.98,7.636363636363637
Columbia,2015                                  ,230538.78494623656,28698.32,6.636363636363637
Columbia,2017                                  ,245188.71717171717,35779.85,9.272727272727273
Cornwall,2010                                  ,614526.3157894737,21692.44,6
Cornwall,2012                                  ,337643.56,15777.48,4.909090909090909
Cornwall,2013                                  ,419712.3703703704,15672.14,2.4545454545454546
Cornwall,2014                                  ,311401.15625,16317.32,3
Cornwall,2015                                  ,263284.5333333333,16386.34,1.9090909090909092
Cornwall,2017                                  ,353983.86861111113,23557.85,1.6363636363636365
Coventry,2010                                  ,218917.96240601502,58573.66,47.54545454545455
Coventry,2011                                  ,188582.92397660817,49485.58,57.09090909090909
Coventry,2012                                  ,198761.85353535353,40780.82,47.45454545454545
Coventry,2013                                  ,184001.29268292684,36808.34,42.54545454545455
Coventry,2015                                  ,205284.10480349345,27110.6,25.363636363636363
Coventry,2016                                  ,190676.7003257329,29324.56,35.45454545454545
Coventry,2017                                  ,221678.49494949495,31736.35,30
Cromwell,2010                                  ,326489.8717948718,51160.36,101.27272727272727
Cromwell,2011                                  ,323387.13333333336,56118,94.9090909090909
Cromwell,2013                                  ,293609.7149122807,66522.36,78
Cromwell,2014                                  ,304111.9090909091,68963.64,85.36363636363636
Cromwell,2015                                  ,295273.58214285714,63766.52,93.54545454545455
Cromwell,2016                                  ,301892.4104477612,61242.44,103.0909090909091
Danbury,2010                                  ,360451.5850340136,52135.54,445.27272727272725
Danbury,2011                                  ,342068.3975409836,52030.1,478.27272727272725
Danbury,2013                                  ,361821.7601214575,52173.68,372.45454545454544
Danbury,2014                                  ,379136.64067127346,53569.56,411.27272727272725
Danbury,2015                                  ,351119.1295474712,54833.9,416
Danbury,2016                                  ,397748.5069204152,55733.08,416.09090909090907
Darien,2010                                  ,1659166.1855670102,108769.2,39.81818181818182
Darien,2011                                  ,1571133.9613095238,118209.58,42.90909090909091
Darien,2012                                  ,1705242.7237851662,114717.72,27.818181818181817
Darien,2014                                  ,1659907.9889624724,116386.6,53.45454545454545
Darien,2015                                  ,1640180.411594203,116886.28,63
Darien,2016                                  ,1557073.6985294118,117647.52,66.72727272727273
Darien,2017                                  ,1644220.0439882698,123121.825,76.63636363636364
Deep River,2011                                  ,245370.83333333334,28030.86,10.636363636363637
Deep River,2012                                  ,304031.40579710144,25321.96,8.545454545454545
Deep River,2013                                  ,230903.5,20726,6.545454545454546
Deep River,2014                                  ,248172.0303030303,18034,5.181818181818182
Deep River,2016                                  ,237791.60975609755,20218.42,2.727272727272727
Deep River,2017                                  ,311232.24210526317,19975.75,1.6363636363636365
Derby,2010                                  ,189908.64150943398,36399.7,111.81818181818181
Derby,2012                                  ,148094.03125,34173.32,116.0909090909091
Derby,2013                                  ,157591.40384615384,33194.5,91.0909090909091
Derby,2014                                  ,166986.33536585365,32861.56,97.18181818181819
Derby,2016                                  ,159211.85784313726,30201.48,91.9090909090909
Derby,2017                                  ,177639.40579710144,31172.6,95
Durham,2011                                  ,274856.3854166667,45317.38,16.636363636363637
Durham,2012                                  ,271119.5824175824,39018.36,9
Durham,2013                                  ,273592.6931818182,29019.86,30
Durham,2014                                  ,298670.2978723404,28690.76,6.818181818181818
Durham,2016                                  ,329225.7054263566,29074.2,6.818181818181818
Durham,2017                                  ,267819.4871794872,29524.85,10.090909090909092
East Granby,2010                                  ,294009.7323943662,45195.42,14.181818181818182
East Granby,2011                                  ,242481.46666666667,38427.22,10.090909090909092
East Granby,2012                                  ,243572.6603773585,32175.56,13.090909090909092
East Granby,2014                                  ,310794.987654321,26521.62,16.09090909090909
East Granby,2015                                  ,244832.46666666667,27227.8,12.272727272727273
East Granby,2016                                  ,282776,33341.06,16.90909090909091
East Granby,2017                                  ,265020.17647058825,33978.65,9
East Haddam,2010                                  ,250359.0487804878,24620.74,34.45454545454545
East Haddam,2011                                  ,224225.42276422764,24687.96,35.72727272727273
East Haddam,2012                                  ,404000,26158.78,34.18181818181818
East Haddam,2013                                  ,218867.28169014084,27389.42,23
East Haddam,2014                                  ,219173.08982035928,31740.08,16.636363636363637
East Haddam,2015                                  ,256370.145,37039.36,12.818181818181818
East Haddam,2016                                  ,220101.66985645934,37979.36,17.272727272727273
East Hampton,2011                                  ,217278.36842105264,74504.96,69.81818181818181
East Hampton,2012                                  ,238947.088372093,66515.18,42
East Hampton,2013                                  ,222968.06818181818,55331.18,39.27272727272727
East Hampton,2014                                  ,232331.86363636365,50342.26,20.727272727272727
East Hampton,2016                                  ,216122.3045112782,49419.56,30.545454545454547
East Hampton,2017                                  ,240686.21833855798,49083,18
East Hartford,2010                                  ,156262.45808966862,41984.44,479.8181818181818
East Hartford,2012                                  ,135430.22282608695,44346.58,493
East Hartford,2013                                  ,154316.745398773,43045.7,446.3636363636364
East Hartford,2014                                  ,182453.3175074184,42746.06,375.90909090909093
East Hartford,2015                                  ,181620.82276843468,42938.92,353.1818181818182
East Hartford,2016                                  ,175621.77056277057,46439.72,404.72727272727275
East Hartford,2017                                  ,200152.95616113744,46294.825,379.90909090909093
East Haven,2010                                  ,300458.57088122604,43477.2,273.09090909090907
East Haven,2012                                  ,169874.52409638555,40542.48,248.1818181818182
East Haven,2013                                  ,170892.30894308942,41304.68,214.27272727272728
East Haven,2014                                  ,313992.977827051,42492.9,205.45454545454547
East Haven,2015                                  ,225929.61052631578,45040.98,194.45454545454547
East Haven,2016                                  ,193403.12068965516,47473.48,188.54545454545453
East Haven,2017                                  ,223071.36805128204,49975.325,176.72727272727272
East Lyme,2010                                  ,362972.5317460318,56798.06,57.09090909090909
East Lyme,2012                                  ,306614.69914040115,58294.9,47.81818181818182
East Lyme,2013                                  ,282240.36649214657,57471.08,57.81818181818182
East Lyme,2014                                  ,292383.6025,62918.12,43.45454545454545
East Lyme,2015                                  ,308691.35772357724,65597.84,42.81818181818182
East Lyme,2017                                  ,319586.3919239905,72600.925,39.54545454545455
East Windsor,2010                                  ,249461.07086614173,46900.18,92.36363636363636
East Windsor,2011                                  ,317684.15862068965,48951.16,86.45454545454545
East Windsor,2013                                  ,184881.4153846154,47778.28,93.9090909090909
East Windsor,2014                                  ,203296.2336448598,49465.92,116.45454545454545
East Windsor,2015                                  ,235084.7650273224,52894.16,92.36363636363636
East Windsor,2016                                  ,313283.5579399142,53837.54,58.72727272727273
Eastford,2010                                  ,140158.11764705883,23678.54,2.727272727272727
Eastford,2011                                  ,173576.08333333334,21197.32,1.6363636363636365
Eastford,2012                                  ,155522.72727272726,18195.4,1.6363636363636365
Eastford,2014                                  ,210841.21212121213,21014.52,3.272727272727273
Eastford,2015                                  ,176001.66666666666,24041.94,2.4545454545454546
Eastford,2016                                  ,180064.51612903227,28949.78,1.0909090909090908
Eastford,2017                                  ,216119.96666666667,32008.75,1.6363636363636365
Easton,2010                                  ,591868.0985915493,80442.78,9.545454545454545
Easton,2011                                  ,589942.9777777778,75946.2,7.636363636363637
Easton,2012                                  ,601303.7156862745,72415.98,10.909090909090908
Easton,2013                                  ,606760.2121212122,63255.22,8.454545454545455
Easton,2014                                  ,604026.2440944882,56831.72,8.454545454545455
Easton,2015                                  ,603566.8642857143,53150.28,6.545454545454546
Easton,2016                                  ,543216.0083333333,59088.86,11.181818181818182
Easton,2017                                  ,557409.8843930636,57179.775,2.727272727272727
Ellington,2011                                  ,235180.34010152283,53053.9,22.454545454545453
Ellington,2012                                  ,257044.84426229508,47027.7,19.90909090909091
Ellington,2013                                  ,342617.4672897196,45821.9,19.09090909090909
Ellington,2014                                  ,249393.74261603376,49031.4,18
Ellington,2016                                  ,252343.56088560887,48718.6,22.09090909090909
Ellington,2017                                  ,262878.336996337,49804,20.454545454545453
Enfield,2010                                  ,184352.27064220182,45739.48,260.72727272727275
Enfield,2012                                  ,177101.68725868725,46211.86,232.27272727272728
Enfield,2013                                  ,247063.88358778626,48793.44,247.36363636363637
Enfield,2014                                  ,177879.73044925125,51540.92,222.45454545454547
Enfield,2015                                  ,237829.83215796898,54550.1,230.27272727272728
Enfield,2017                                  ,429662.18785310735,60356.425,238.9090909090909
Essex,2010                                  ,402582.7878787879,34584,11.181818181818182
Essex,2011                                  ,406470.3125,31663.42,12
Essex,2012                                  ,469190.2075471698,28930.88,8.454545454545455
Essex,2013                                  ,495635.2444444444,27452.6,5.7272727272727275
Essex,2014                                  ,404737.55102040817,31235.88,7.181818181818182
Essex,2015                                  ,459056.24025974027,35237.86,7.363636363636363
Essex,2016                                  ,413826.4465408805,35988.34,4.636363636363637
Essex,2017                                  ,463397.5197740113,37372.175,6
Fairfield,2011                                  ,715049.2315394243,82831.72,316.6363636363636
Fairfield,2012                                  ,651781.6617063492,83744.76,364.45454545454544
Fairfield,2013                                  ,794260.66273353,85812.82,321.6363636363636
Fairfield,2014                                  ,732405.5231527094,87292.96,328.27272727272725
Fairfield,2016                                  ,706497.2935694315,90751.6,283.90909090909093
Fairfield,2017                                  ,731645.1151981133,91246.45,4577.181818181818
Farmington,2010                                  ,374694.45558739256,61589.8,194
Farmington,2011                                  ,358105.74318181816,65866.18,175.36363636363637
Farmington,2012                                  ,490098.4492753623,65116.62,178.1818181818182
Farmington,2013                                  ,523567.1235059761,62634.78,185.45454545454547
Farmington,2014                                  ,394714.55803571426,59430.8,183.8181818181818
Farmington,2015                                  ,498484.16835699795,57851.84,166.0909090909091
Farmington,2016                                  ,417770.2103174603,60426.14,183.54545454545453
Franklin,2010                                  ,258018.33333333334,24063.16,12.545454545454545
Franklin,2011                                  ,188855.55555555556,24817.22,6
Franklin,2012                                  ,199385.37037037036,27525.18,7.363636363636363
Franklin,2014                                  ,255949.96666666667,38501.3,2.1818181818181817
Franklin,2015                                  ,222334.23076923078,44039.82,7.090909090909091
Franklin,2016                                  ,161819.4814814815,47968.08,8.181818181818182
Franklin,2017                                  ,227426.35483870967,51040.65,4.636363636363637
Glastonbury,2010                                  ,414463.3453815261,80159.78,107.45454545454545
Glastonbury,2011                                  ,398547.38112522685,77502.6,95.54545454545455
Glastonbury,2012                                  ,409070.08904109587,72816.72,100.72727272727273
Glastonbury,2013                                  ,384231.87226890755,65993.88,82.36363636363636
Glastonbury,2014                                  ,410448.8664495114,66918.34,86.27272727272727
Glastonbury,2015                                  ,444883.3582295989,68305.3,101.45454545454545
Glastonbury,2016                                  ,512176.9759036145,73068.98,124.0909090909091
Goshen,2010                                  ,326565.3880597015,21689.7,4.7272727272727275
Goshen,2011                                  ,311616.68333333335,20179.08,4.363636363636363
Goshen,2013                                  ,300576.7972972973,19685.74,2.727272727272727
Goshen,2014                                  ,307745.57425742573,20774.58,2.727272727272727
Goshen,2015                                  ,329851.44943820225,22415.86,3
Goshen,2016                                  ,352532.76086956525,32347.78,3.5454545454545454
Granby,2010                                  ,273320.40769230766,71343.58,31
Granby,2011                                  ,272023.99305555556,67203.9,34.45454545454545
Granby,2012                                  ,243550.33333333334,58108.42,30
Granby,2013                                  ,269334.4658385093,49998.36,29.727272727272727
Granby,2014                                  ,264890.7471910112,48747.16,25.727272727272727
Granby,2015                                  ,268747.8090909091,44285.26,22.636363636363637
Granby,2016                                  ,279800.53398058255,42776.4,22.636363636363637
Greenwich,2010                                  ,326500,79872.22,163.45454545454547
Greenwich,2011                                  ,1947871.1120186697,80844.78,124.45454545454545
Greenwich,2012                                  ,1814902.8125,83198.14,107
Greenwich,2013                                  ,2275800.3702623905,85226.42,130.0909090909091
Greenwich,2014                                  ,2062340.4806273063,88021.74,135.27272727272728
Greenwich,2016                                  ,2091205.929789368,96859.84,117.9090909090909
Greenwich,2017                                  ,1991337.3610634147,98110.425,137.1818181818182
Griswold,2010                                  ,132303.59574468085,34122.6,32.81818181818182
Griswold,2012                                  ,160747.56934911243,29592.7,37.54545454545455
Griswold,2013                                  ,141189.83950617284,25578.02,36.27272727272727
Griswold,2014                                  ,164011.34285714285,22989.7,35
Griswold,2015                                  ,149264.26570048308,22876.04,22.636363636363637
Griswold,2017                                  ,186210.28510638297,20823.8,18.90909090909091
Groton,2010                                  ,283463.2836676218,60742.12,200.72727272727272
Groton,2012                                  ,272527.28997867805,54081.02,237.54545454545453
Groton,2013                                  ,357210.7850098619,47357.64,218.27272727272728
Groton,2014                                  ,295107.73247232474,46185.2,219.36363636363637
Groton,2015                                  ,250818.63974151856,44925.62,193.54545454545453
Groton,2017                                  ,293808.4153094463,45881.9,191
Guilford,2010                                  ,462468.1220472441,88080.42,124.0909090909091
Guilford,2011                                  ,394986.3298245614,80933.72,99.0909090909091
Guilford,2012                                  ,397940.6118598383,74856.2,86.45454545454545
Guilford,2014                                  ,479397.0025125628,60813.56,97.18181818181819
Guilford,2015                                  ,443682.5908045977,56023.38,59.45454545454545
Guilford,2016                                  ,403971.9912472648,61631.18,56.72727272727273
Haddam,2011                                  ,260451.32710280374,28195.12,16.636363636363637
Haddam,2012                                  ,242502.63025210085,28891.3,18.545454545454547
Haddam,2013                                  ,251846.83076923076,29879.28,9.272727272727273
Haddam,2014                                  ,235928.6690647482,32317.02,11.636363636363637
Haddam,2016                                  ,271167.8588235294,47657.9,9.818181818181818
Haddam,2017                                  ,254472.8120805369,50252.85,9.272727272727273
Hamden,2010                                  ,238599.57248157248,61143.7,244.0909090909091
Hamden,2011                                  ,212112.48424068769,60845,421.3636363636364
Hamden,2012                                  ,260160.92098445597,60149.8,466.54545454545456
Hamden,2013                                  ,313122.3695364238,59975.58,455.8181818181818
Hamden,2014                                  ,223576.7972972973,59980.44,433.3636363636364
Hamden,2016                                  ,318022.7435008666,61403.36,465
Hamden,2017                                  ,427988.568948891,61655.275,371.3636363636364
Hampton,2010                                  ,159583.33333333334,33057.58,5.181818181818182
Hampton,2011                                  ,198605.44,35478.6,2.1818181818181817
Hampton,2012                                  ,171588.46153846153,37601.24,1.3636363636363635
Hampton,2014                                  ,168777.0909090909,32630.56,1.7272727272727273
Hampton,2015                                  ,183066.21951219512,30720.54,4.090909090909091
Hampton,2016                                  ,188748.36666666667,27741.96,1.6363636363636365
Hampton,2017                                  ,185769,24044,0.8181818181818182
Hartford,2010                                  ,285987.9011461318,29091.6,1950.1818181818182
Hartford,2012                                  ,323964.9376731302,30312.4,1910
Hartford,2013                                  ,255500.93997271487,31020.48,1779.2727272727273
Hartford,2014                                  ,565629.3537675607,30311.24,1820.4545454545455
Hartford,2015                                  ,238089.15598548972,31418.94,1883.5454545454545
Hartford,2017                                  ,215919.49062844543,33831.2,8085.454545454545
Hartland,2010                                  ,172013.63636363635,27866.48,3.272727272727273
Hartland,2011                                  ,189394.47619047618,23762.18,1.9090909090909092
Hartland,2012                                  ,166982.8260869565,20165.16,3.272727272727273
