SALEMONTH,AVERAGESALEPRICE
12,450551.9627527312
8,449996.9089674654
7,411991.95538761915
1,410010.9385545087
6,401368.34858681046
9,374749.26660100964
5,371866.6206546908
4,363289.4966091352
11,359093.6018748722
10,359016.2825580864
3,356273.902890241
2,350980.58252635214
,0
